"year","month","day","hour","windspeed_10m","temperature","radiation_direct_horizontal","radiation_diffuse_horizontal","load_entsoe_power_statistics","load_entsoe_transparency","solar_generation_actual","wind_onshore_generation_actual"
2015,1,1,0,2.67,-6.503,0,0,6908,5964,0,70
2015,1,1,1,2.79,-6.458,0,0,6601,5726,0,64
2015,1,1,2,2.9,-6.253,0,0,6311,5347,0,65
2015,1,1,3,2.93,-5.908,0,0,6230,5249,0,64
2015,1,1,4,3.1,-5.516,0,0,6321,5309,0,64
2015,1,1,5,3.25,-5.148,0,0,6377,5574,0,84
2015,1,1,6,3.29,-4.841,0.00904127969368,0.311158720306,6677,5925,0,131
2015,1,1,7,3.27,-4.179,1.56136021108,25.9639397889,7035,6343,2,109
2015,1,1,8,3.23,-2.807,7.54672846651,75.0442715335,7394,6882,10,146
2015,1,1,9,3.22,-1.315,17.2072945294,116.917105471,7770,6963,21,146
2015,1,1,10,3.22,-0.051,35.4288911293,146.892308871,7820,7110,32,158
2015,1,1,11,3,0.791,58.5237704044,151.472129596,7694,7136,37,187
2015,1,1,12,2.8,1.234,59.1382986072,131.958601393,7565,7013,35,244
2015,1,1,13,2.61,1.186,32.55521768,95.50558232,7469,6735,27,299
2015,1,1,14,2.41,0.46,6.6182413015,38.6152586985,7581,6543,14,327
2015,1,1,15,2.44,-0.586,0.160001334629,1.31469866537,8157,6603,3,346
2015,1,1,16,2.56,-1.445,0,0,8458,6735,0,310
2015,1,1,17,2.54,-1.879,0,0,8391,6626,0,205
2015,1,1,18,2.44,-2.239,0,0,8078,6738,0,222
2015,1,1,19,2.25,-2.376,0,0,7635,6654,0,251
2015,1,1,20,2.2,-2.551,0,0,7219,6255,0,138
2015,1,1,21,2.27,-2.739,0,0,7234,6221,0,92
2015,1,1,22,2.44,-2.716,0,0,6778,5864,0,103
2015,1,1,23,2.6,-2.599,0,0,6459,5533,0,106
2015,1,2,0,2.62,-2.383,0,0,6210,5205,0,79
2015,1,2,1,2.58,-2.1,0,0,6101,4971,0,126
2015,1,2,2,2.56,-1.744,0,0,6018,4669,0,195
2015,1,2,3,2.56,-1.549,0,0,6218,4756,0,225
2015,1,2,4,2.68,-1.68,0,0,6915,5080,0,237
2015,1,2,5,2.84,-1.849,0,0,7604,5422,0,211
2015,1,2,6,3.03,-2.036,0.0717794053169,0.631020594683,8360,5856,0,242
2015,1,2,7,3.19,-1.411,13.7907739951,37.5356260049,8795,6366,3,302
2015,1,2,8,3.2,0.513,68.0748247892,80.9343752108,9053,6431,15,369
2015,1,2,9,3.36,2.151,136.944035972,97.401864028,9131,6699,33,413
2015,1,2,10,3.63,3.286,193.061796877,97.0962031234,9060,6543,50,407
2015,1,2,11,3.73,4.013,192.04296338,99.15273662,8836,6310,58,424
2015,1,2,12,3.76,4.081,109.194862575,112.907337425,8840,6257,55,478
2015,1,2,13,4.03,3.183,21.2788373254,89.0073626746,8830,6307,41,520
2015,1,2,14,4.64,2.012,1.56234810161,25.8722518984,8996,6502,20,578
2015,1,2,15,4.79,1.385,0.0195151753508,0.629384824649,9576,6889,4,553
2015,1,2,16,4.96,1.386,0,0,9766,5972,0,1048
2015,1,2,17,4.89,1.564,0,0,9378,5892,0,1498
2015,1,2,18,4.86,1.663,0,0,8787,5807,0,1615
2015,1,2,19,4.86,1.559,0,0,8214,5313,0,1702
2015,1,2,20,4.93,1.244,0,0,7639,5379,0,1637
2015,1,2,21,4.93,0.775,0,0,7602,5325,0,1512
2015,1,2,22,4.95,0.363,0,0,7060,5145,0,1407
2015,1,2,23,4.95,0.034,0,0,6681,5827,0,1373
2015,1,3,0,4.96,-0.292,0,0,6306,5779,0,1350
2015,1,3,1,5.14,-0.555,0,0,6071,5467,0,1304
2015,1,3,2,5.13,-0.892,0,0,5952,5201,0,1241
2015,1,3,3,5.01,-1.237,0,0,6091,5244,0,1146
2015,1,3,4,4.68,-1.493,0,0,6482,5405,0,1423
2015,1,3,5,4.27,-1.641,0,0,6940,5402,0,1366
2015,1,3,6,3.89,-1.763,0.0362991638451,0.627500836155,7632,5553,1,1323
2015,1,3,7,3.68,-1.466,4.52911380929,36.5321861907,8103,5476,5,1296
2015,1,3,8,3.57,-0.34,15.5224955733,90.9246044267,8365,5612,20,1059
2015,1,3,9,3.43,0.733,26.7715691388,131.923630861,8573,5660,41,903
2015,1,3,10,3.34,1.425,29.9468630184,153.714936982,8500,5663,58,718
2015,1,3,11,3.05,1.608,10.4805715718,124.688128428,8222,5305,65,503
2015,1,3,12,2.65,1.274,2.96963179817,77.2136682018,8113,4932,59,293
2015,1,3,13,2.54,0.847,1.15128403856,44.2434159614,8164,4706,43,279
2015,1,3,14,2.52,0.327,0.28412127874,15.0953787213,8378,4833,23,356
2015,1,3,15,2.42,-0.142,0.00647754202479,0.443022457975,8943,5124,6,346
2015,1,3,16,2.39,-0.334,0,0,9059,6064,0,301
2015,1,3,17,2.43,-0.386,0,0,8695,5937,0,114
2015,1,3,18,2.53,-0.402,0,0,8216,5767,0,83
2015,1,3,19,2.72,-0.349,0,0,7742,5697,0,69
2015,1,3,20,2.63,-0.432,0,0,7347,5329,0,67
2015,1,3,21,2.78,-0.515,0,0,7352,5570,0,54
2015,1,3,22,2.81,-0.56,0,0,6905,5452,0,61
2015,1,3,23,2.98,-0.698,0,0,6491,5513,0,57
2015,1,4,0,3.43,-0.714,0,0,6125,5234,0,143
2015,1,4,1,4.16,-0.609,0,0,5965,5106,0,569
2015,1,4,2,4.7,-0.808,0,0,5847,4804,0,1081
2015,1,4,3,5.22,-1.085,0,0,5944,4797,0,1424
2015,1,4,4,5.93,-1.223,0,0,6189,4868,0,1639
2015,1,4,5,6.13,-1.413,0,0,6423,5035,0,1672
2015,1,4,6,6.5,-1.581,0.0698008228832,0.741199177117,6962,5385,0,1667
2015,1,4,7,6.97,-1.368,9.07596443635,38.3729355636,7448,5513,3,1732
2015,1,4,8,7.5,-0.723,40.855727932,91.413572068,7827,5567,14,1849
2015,1,4,9,7.84,-0.085,72.8443929376,125.067107062,8173,5618,28,1921
2015,1,4,10,8,0.339,97.9162628611,140.745037139,8273,5621,40,1945
2015,1,4,11,8.06,0.515,94.7549563774,142.841143623,7988,5540,46,1914
2015,1,4,12,7.99,0.39,59.8162907478,130.759509252,7754,5454,42,1910
2015,1,4,13,7.66,0.019,20.5001136286,91.3414863714,7597,5162,31,1886
2015,1,4,14,7.16,-0.563,4.21176518848,36.3596348115,7784,5044,16,1839
2015,1,4,15,6.76,-1.259,0.0487143420809,1.00318565792,8515,5292,4,1825
2015,1,4,16,6.56,-1.558,0,0,8723,4946,0,1813
2015,1,4,17,6.5,-1.673,0,0,8626,4833,0,1802
2015,1,4,18,6.51,-1.686,0,0,8330,5035,0,1777
2015,1,4,19,6.43,-1.744,0,0,7887,5067,0,1674
2015,1,4,20,6.29,-1.871,0,0,7497,4753,0,1561
2015,1,4,21,6.26,-2.027,0,0,7485,5092,0,1406
2015,1,4,22,6.18,-2.172,0,0,6982,5177,0,1421
2015,1,4,23,6.05,-2.317,0,0,6676,6180,0,1473
2015,1,5,0,5.86,-2.499,0,0,6473,6005,0,1566
2015,1,5,1,5.63,-2.738,0,0,6334,5987,0,1575
2015,1,5,2,5.4,-3.017,0,0,6243,5758,0,1549
2015,1,5,3,5.14,-3.248,0,0,6422,5692,0,1460
2015,1,5,4,5.01,-3.338,0,0,7066,5979,0,1370
2015,1,5,5,4.86,-3.37,0,0,7738,6252,0,1301
2015,1,5,6,4.95,-3.3,0.0432382179795,0.70646178202,8538,6770,0,1235
2015,1,5,7,5.23,-2.74,5.08596247877,36.6533375212,9048,6833,4,1148
2015,1,5,8,5.43,-1.666,15.977369772,88.254530228,9323,7129,18,1363
2015,1,5,9,5.64,-0.74,26.5969574834,126.756242517,9465,7428,36,1421
2015,1,5,10,5.82,-0.197,36.8347845209,149.382415479,9613,7268,49,1651
2015,1,5,11,5.96,0.032,40.0737380968,151.175561903,9370,7290,56,1580
2015,1,5,12,6.08,0.055,34.1184151426,132.459384857,9357,7423,52,1599
2015,1,5,13,6.05,-0.169,20.4548890909,94.4006109091,9385,7260,38,1846
2015,1,5,14,5.94,-0.842,5.67684646389,39.2992535361,9396,7390,19,1832
2015,1,5,15,5.98,-1.774,0.248494270012,1.77370572999,9868,7248,4,1788
2015,1,5,16,5.97,-2.154,0,0,10007,7791,0,1813
2015,1,5,17,5.81,-2.343,0,0,9758,7560,0,1785
2015,1,5,18,5.6,-2.492,0,0,9123,7351,0,1705
2015,1,5,19,5.22,-2.662,0,0,8486,7251,0,1499
2015,1,5,20,4.95,-2.852,0,0,7882,6582,0,1338
2015,1,5,21,4.68,-3.093,0,0,7919,6429,0,1263
2015,1,5,22,4.51,-3.274,0,0,7379,6182,0,1164
2015,1,5,23,4.22,-3.493,0,0,6920,5523,0,1112
2015,1,6,0,3.83,-3.767,0,0,6606,5220,0,960
2015,1,6,1,3.63,-4.035,0,0,6440,5015,0,866
2015,1,6,2,3.43,-4.232,0,0,6279,4868,0,791
2015,1,6,3,3.16,-4.423,0,0,6363,4974,0,741
2015,1,6,4,2.93,-4.551,0,0,6549,4926,0,716
2015,1,6,5,2.75,-4.698,0,0,6785,4742,0,589
2015,1,6,6,2.64,-4.911,0.158102835989,0.926397164011,7320,5437,0,642
2015,1,6,7,2.71,-4.389,25.5952707765,35.8842292235,7709,5821,4,614
2015,1,6,8,2.62,-2.565,115.758998198,59.1602018015,8086,6248,17,441
2015,1,6,9,2.52,-0.602,213.866500331,60.0466996688,8422,6608,36,321
2015,1,6,10,2.44,0.484,272.422869146,57.9579308544,8469,6946,53,398
2015,1,6,11,2.32,0.994,278.156632952,56.3176670479,8031,6642,62,485
2015,1,6,12,2.21,1.09,232.502678457,54.2774215431,7841,6204,59,551
